Prop_lost,median1,median2
0.8685,0.2005,0.212
0.86965,0.1995,0.2035
0.8708,0.194,0.2015
0.87194,0.188,0.201
0.87309,0.1875,0.198
0.87424,0.187,0.196
0.87538,0.187,0.1855
0.87691,0.1865,0.1825
0.87806,0.186,0.1785
0.8792,0.186,0.175
0.88035,0.186,0.1645
0.8815,0.186,0.163
0.88265,0.186,0.1525
0.88379,0.181,0.1425
0.88494,0.1795,0.133
0.88609,0.174,0.125
0.88723,0.1695,0.116
0.88838,0.1675,0.1015
0.88914,0.1675,0.1015
0.88953,0.1675,0.1015
0.88991,0.1675,0.1015
0.89029,0.1675,0.1015
0.89067,0.1675,0.1015
0.89106,0.1675,0.1015
0.89144,0.1675,0.1015
0.89144,0.1675,0.1015
0.89182,0.1675,0.1015
0.8922,0.1675,0.1015
0.89258,0.1675,0.1015
0.89297,0.1675,0.1015
0.89335,0.1675,0.1015
0.89373,0.1675,0.1015
0.8945,0.1675,0.1015
0.89488,0.1675,0.1015
0.89526,0.1675,0.1015
0.89526,0.1675,0.1015
0.89564,0.1675,0.1015
0.89602,0.1675,0.1015
0.89641,0.1675,0.1015
0.89679,0.1675,0.1015
0.89717,0.1675,0.1015
0.89755,0.1675,0.1015
0.89832,0.1675,0.1015
0.8987,0.1675,0.1015
0.89946,0.1675,0.1015
0.90023,0.1675,0.1015
0.90061,0.1675,0.1015
0.90138,0.1675,0.1015
0.90214,0.1675,0.1015
0.90291,0.167,0.1015
0.90329,0.166,0.1015
0.90367,0.165,0.1015
0.90443,0.1635,0.1015
0.90482,0.162,0.1015
0.90558,0.1605,0.1005
0.90635,0.1595,0.1005
0.90673,0.1585,0.1005
0.90749,0.157,0.1005
0.90826,0.155,0.1005
0.9094,0.1535,0.1005
0.91017,0.151,0.1005
0.91093,0.1485,0.1005
0.9117,0.1455,0.1005
0.91208,0.143,0.1
0.91284,0.1395,0.1
0.91361,0.1365,0.1
0.91437,0.133,0.1
0.91514,0.13,0.1
0.9159,0.127,0.1
0.91667,0.124,0.1
0.91743,0.1215,0.1
0.9182,0.12,0.1
0.91896,0.1185,0.1
0.92011,0.1165,0.1
0.92087,0.115,0.1
0.92164,0.114,0.1
0.9224,0.1125,0.1
0.92317,0.1105,0.0995
0.92431,0.109,0.0995
0.92508,0.1075,0.099
0.92584,0.1055,0.0985
0.92699,0.1055,0.098
0.92775,0.1055,0.098
0.9289,0.105,0.0975
0.92966,0.104,0.097
0.93043,0.104,0.097
0.93157,0.104,0.097
0.93234,0.1035,0.096
0.93349,0.1025,0.095
0.93463,0.1025,0.094
0.93578,0.102,0.0935
0.93693,0.102,0.093
0.93807,0.101,0.093
0.93922,0.101,0.0925
0.94037,0.1,0.0925
0.94151,0.0995,0.092
0.94266,0.099,0.092
0.94381,0.0985,0.092
0.94495,0.098,0.0905
0.9461,0.097,0.09
0.94725,0.0965,0.09
0.94839,0.095,0.0895
0.94954,0.0945,0.089
0.95107,0.0935,0.088
0.95222,0.091,0.088
0.95336,0.0895,0.0865
0.95451,0.0885,0.0855
0.95566,0.0875,0.084
0.9568,0.087,0.083
0.95833,0.0865,0.083
0.95948,0.0855,0.082
0.96063,0.0825,0.0795
0.96177,0.0815,0.078
0.96292,0.079,0.077
0.96445,0.0785,0.0765
0.9656,0.078,0.076
0.96674,0.076,0.075
0.96789,0.0745,0.0735
0.96942,0.074,0.071
0.97057,0.073,0.0705
0.97171,0.072,0.069
0.97286,0.07,0.0685
0.97439,0.068,0.0655
0.97554,0.066,0.065
0.97668,0.061,0.0635
0.97821,0.058,0.062
0.97936,0.054,0.061
0.9805,0.051,0.0595
0.98203,0.048,0.056
0.98318,0.0455,0.0525
0.98433,0.043,0.0495
0.98586,0.04,0.0445
0.987,0.0365,0.0405
0.98853,0.033,0.037
0.98968,0.0285,0.034
0.99083,0.0245,0.0305
0.99197,0.021,0.027
0.99312,0.0175,0.0235
0.99427,0.014,0.0195
0.99541,0.011,0.0155
0.99656,0.0075,0.012
0.99771,0.005,0.008
0.99885,0.002,0.004
1,0,0
1,0,0
